,clean_message
637,nevertheless yet anoth wonder film from the great master 's stabl .
638,i have to say that thi film be excel produc and top the rate a a typic sci fi film !
639,excel produc by one of sci-fi 's best produc scot vandiv !
640,"but it be entertain , nonetheless ."
641,it 's a campi sort of film that 's a joy to watch .
642,there 's bare a bore moment in the film and there be plenti of humor part .
643,the cast be alway entertain a usual .
644,"overal , a delight !"
645,"thi movi be so mind-bendingli aw , it could n't have even be creat ."
646,the film lack ani real scare or tension & some of the medic terminolog use throughout be a bit iffi to say the least & i say that a an insulin depend diabet myself .
647,the least say about the act the good .
648,thi movi do an excel job of reveal the complex of the task and the incred challeng face south africa .
649,i believ everi one should see thi movi a i think few peopl outsid of south africa understand it past and what be be attempt in the truth and reconcili process .
650,noth short of magnific photography/cinematographi in thi film .
651,"the act be fantast , the stori be seamlessli weav togeth , and the dog be splendid ............. a must rent , view , or see ."
652,do n't be afraid of subtitl ........ it worth a littl avers therapi 10/10
653,excel perform .
654,there still be good actor around !
655,also great direct and photographi .
656,"veri true to shakespear , and a 'must ' for all shakespear fan ."
657,"macbeth ( jason conneri ) move me to tear with hi final monolog ( out brief candl , out ) he give the sphere of moral decay and dark forc a human face , which make it the more interest ."
658,"helen baxendal be a veri credibl ladi macbeth who can be veri cheerful at time and sometim she just look like a naughti girl , but deadli in her tast for blood and evil ."
659,"if you love death and decay , and shakespear lyric ... thi be the one ."
660,"thi be a witti and delight adapt of the dr seuss book , brilliantli anim by upa 's fine and thoroughli deserv of it academi award ."
661,"special mention should be make of the superb music score and sound effect , which be an integr element in help to make thi such a memor and enjoy cartoon ."
662,howev paul schrader have inde make a film `` about `` mishima that be both superb & complex .
663,also notabl be john bailey 's fine crisp beauti color cinematographi and the great product design & costum by eiko ishioka who go on to do the memor costum for coppola 's dracula for which she receiv a well deserv oscar .
664,"even allow for poor product valu for the time ( 1971 ) and the format ( some kind of mini-seri ) , thi be baaaaaad ."
665,"unless you 're just out to visual `` collect `` all extant film of austen 's work , you can skip thi one ."
666,"if you do watch it , howev , there be small consol : the actress play ann 's sister each do a wonder job with their role ."
667,it be not good .
668,"speak of the music , it be unbear predict and kitchi ."
669,then the film just drop the ball .
670,thi be a stun movi .
671,raw and sublim move .
672,"it felt like a veri grip , intellig stage play ( but without the overli theatric feel one actual get from watch peopl on a stage ) which play on everyon 's terror of a white lie escal to monstrou consequ ."
673,all of the main player be mesmeris .
674,tom wilkinson break my heart at the end ... and everyon els 's judg by the amount of fumbl for hanki and hand go up to face among male and femal alik .
675,julian fellow have triumph again .
676,he 's a nation treasur .
677,go and see it !
678,thi be an excel film .
679,the aerial scene be well-don .
680,it be also the right balanc of war and love .
681,"the film give mean to the phrase , `` never in the histori of human conflict have so much be owe by so mani to so few ."
682,kri kristoffersen be good in thi movi and realli make a differ .
683,a good film by a great director !
684,thi be definit one of the good documentari i have see look at famili relationship and marriag .
685,"there be mani continu error : one other user comment on differ car in the garag , joe 's glass ... the one that get to me the most be the fact joe 's facial hair configur seem to chang from scene to scene ."
686,thi be just a great movi .
687,10 out of 10 star .
688,i ca n't see how thi movi can be an inspir to anyon to come out or overcom fear and reject .
689,it 's so bad it 's actual worth see just for that reason .
690,punish park be a brilliant piec of cinema .
691,"shot in the southern california desert use hi patent faux documentari style , watkin creat a film like no other ."
692,thi be one of peter watkin most access film .
693,i advis you to look out for it .
694,you wont regret it !
695,highli recommend a+
696,well ... just if you keep think how bad it be .
697,"it 's a mediocr , miser , hollow , laughabl and predict piec of garbag ."
698,it 's a case of 'so bad it be laughabl ' .
699,") veri bad perform play angela bennett , a comput expert who be at home all the time ."
700,"it be a film about noth , just a pretext to show ridicul action scene ."
701,how aw she be !
702,"but she be still a bad actress , repeat her robot face move in each of her pictur ."
703,"the result , well , be a shame ."
704,delet thi film from your mind !
705,one of the bad show of all time .
706,the show would begin with smart as ed comment to each other that would be total off the wall and uncal for .
707,"the fat comput geek be unbeliev , the bibl thumper , the bad-ass girl , who be these actor ? ? ?"
708,never heard of ani of them except cole who be total unbeliev in the part .
709,"everi time he open hi mouth you expect to hear , `` you see kid ... `` pull the plug be a merci kill for thi horribl show ."
710,the stori be as unbeliev a the actor .
711,lame would be the best way to describ it .
712,"stanwyck and morgan be perfectli cast in what be , in mani way , a modern equival of dicken ' christma carol in it sensibl ."
713,the success of the film depend on the cast of sydney greenstreet a the alexand yardley charact .
714,the attract set use throughout most of the film be an eye-pleas gem .
715,"im big fan of rpg game too , but thi movi , it a disgrac to ani self-respect rpger there be ."
716,"the line , the cut , the audio , everyth be wrong ."
717,you can find good movi at youtub .
718,"top line : do n't wast your time and money on thi one , it as bad a it come ."
719,a lassi movi which should have be `` put to sleep `` .... forev .
720,that 's how i 'd describ thi pain dreari time-wast of a film .
721,"so mediocr in everi aspect that it just becom a dull , uninterest mess , thi be one of the most forgett movi i 've see ."
722,it be n't even an achiev a a `` so-bad-it's-good `` or `` so-bad-it's-memor `` movi .
723,"it 's an empti , hollow shell of a movi ."
724,"serious , it 's not worth wast your , or your kid 's time on ."
725,"avoid , avoid , avoid !"
726,it will drive you bark mad !
727,the transfer be veri good .
728,veri nice and relax late night view .
729,the movi be full of wonder danc ( henc the titl !
730,") some great music , and terrif sceneri ."
731,"it handl some tough issu with digniti and grace , and , of cours , have ( shock spoiler here !"
732,") a happi , wonder , feel good end !"
733,"the point be the journey , a journey that touch everi member of the famili ."
734,it 's one of the movi i need to see whenev it come on tv ... never mind the fact that i alreadi have it memor !
735,noth new there .
736,that be do in the second movi .
737,the movi have almost no action scene in it and veri littl comedi .
738,the plot have more hole than a pair of fishnet stock and the direct and edit be astonishingli ham fist .
739,what on earth be iron do in thi film ?
740,i just saw thi film and i recommend it .
741,"it have a veri good plot , it hold your complet attent , the act be superb , tom wilkinson be fantast and emili watson be also veri good ."
742,"a veri good film inde , about great and uncondit love ."
743,"tom wilkinson 's charact be a man who be not prepar for the ordeal that be about to begin , but he take the matter in hand a the stori progress , and thi great actor give a perform that make you feel the charact 's anguish and suffer ."
744,"emili watson 's charact be veri strong , and she have onli to give a quick glanc and you understand everyth ."
745,"despit the pan of review , i like thi movi ."
746,"in fact , i like it good than interview with a vampir and i like thi lestat ( stuart townsend ) good than cruis 's attempt ."
747,"aailiyah be pretti good a akasha , in place compel ( her first entranc and mini danc scene ) ."
748,"i 'm a big fan of thi seri mostli due to ann rice 's style , sensit and treatment ."
749,i guess i like the detail of hi dysfunct -- he be believ .
750,the footbal scene at the end be perplex .
751,but i think hi act be skill .
752,meredith m be good than all right .
753,a veri charm film with wonder sentiment and heart .
754,it be rare when a film-mak take the time to tell a worthi moral tale with care and love that do n't fall into the trap of be overli syrupi or over indulg .
755,nine out of ten for a truli love film .
756,thi earli film from futur goremeist lucio fulci be a veri good addit to the giallo sub-genr .
757,thi be one of the best italian thriller of the earli 70 's .
758,a standout scene .
759,thi scene be veri strong and unpleas .
760,"technic , the film be well make with impress camera-work , solid act and effect music from riz ortolani  particularli good be a recur unaccompani femal vocal that sound like it 's come from a distant hill ."
761,it 's still wild stuff though and be highli recommend to fan of giallo cinema .
762,the movi be veri interest from begin to the end .
763,i like the way dustin hoffman 's charact be readi to do just about everyth to stay with hi son .
764,thi movi be also reveal .
765,"person , i think it show that peopl should learn to find a compromis them self without involv other peopl into issu ."
766,and it be bore .
767,"i be so tire of cliché that be just lazi write , and here they come in thick and fast ."
768,ps the onli scene in the movi that be cool be when the central charact find her room blow up .
769,"it 's a fresh , subtl , and rather sublim effect ."
770,"an italian review call thi `` a small , great film , `` and that 's right ."
771,"all the actor give a wonder perform , especi jennif rubin a jami harri , who chang from the nervou starlet in the begin through the strang event she be part of to the cool star ."
772,"you learn a lot about the real insid emot of peopl in thi movi , and a lot about the movi busi itself ."
773,the movi in movi situat in the begin and through the game that be play with her by the `` act coach `` be fascin .
774,also the music by mark snow be possibl the best score i 've ever hear .
775,you wo n't forget thi movi !
776,whi be thi film make ?
777,the film have an ultra-cheap look to it .
778,the result be a film that just do n't look right .
779,none of them be engag or excit .
780,the plot be nonsens that do n't interest in the slight way or have ani uniqu to it .
781,the foreign be not worth one second of your time .
782,"i saw it a a child on tv back in 1973 , when it be `` the stranger `` and i love it ."
783,but the duet between the astronaut and hi doctor at the begin of the movi be a perfect exchang if one consid that thi movi be make well into the cold war and the astronaut 's big fear be that he have crash in the ussr .
784,thi movi be so awesom !
785,"i love it , it be realli scari ."
786,i love the scream movi and all horror movi and thi one rank way up there .
787,if you want a real scare rent thi one !
788,10/10
789,thi be an extraordinari film .
790,"a a courtroom drama , it 's compel , a an indict on the american justic system , it 's frighten ."
791,"thi film highlight the fundament flaw of the legal process , that it 's not about discov guilt or innoc , but rather , be about who present good in court ."
792,"the film be well pace , underst and one of the best courtroom documentari i 've see ."
793,thi mostli routin fact-bas tv drama get a boost from the fine perform by cole .
794,"predict , but not a bad watch ."
795,it be clear that she have the rang and abil to pull off thi part .
796,she carri the movi well .
797,constantin give everyth the right intens and seem to have a good understand of the underli psycholog motiv .
798,"it be wonder and inspir to watch , and i hope that it get releas again on to video or dvd ."
799,"how thi piec of trash be ever releas be beyond me : the act , the stori , the charact , the supposedli special effect , etc ... it 's all wrong ."
800,"in fact , thi stinker smell like a direct-to-video releas ."
801,avoid at all cost !
802,star trek v the final frontier be the bad in the seri .
803,"the act from all involv and that includ those like shatner and nimoy be bad and wash out and make them seem as old a they look in real life , the special effect be tacki like when spock have to rescu kirk on a jet pack when he fall down from a mountain ."
804,the attempt at humor be piti and stori be so aw it dose n't bear think about which basic involv a vulcan steal the enterpris to find god ( serious ) i just do n't care about ani of thi film and oh not to mention uhura do a belli danc to distract male guard .
805,the onli place good for thi film be in the garbag .
806,the bad one of the seri .
807,edit : the edit of thi film be phenomen in my opinion .
808,"when a song could explain the emot of the subject well , such a when jay adam ' unfortun life be a subject of talk , the song old man by neil young be play , which evok mani emot ."
809,cinematographi : the film be shoot in an interest way .
810,"of cours the footag from the 70 be graini , but that onli enhanc the film ."
811,thi film offer mani delight and surpris .
812,"when achil and philippa beauti sing a duet from `` don giovanni `` that perfectli describ their situat in the movi , you appreci the subtl layer of thi excel film ."
813,the stori unfold in 18th centuri jutland and the use of period music play on period instrument be just one more fine touch .
814,you share gener loewenhielm 's exquisit joy in hi partak of the caill en sarcophag even though you be just watch a movi - but you do wish for just a small sampl to savor .
815,but thi underst film leav a last impress .
816,the warmth it gener be in contrast to it auster backdrop .
817,you will leav the theater want to go out and danc under the star .
818,"the act , a you 'd expect from thi cast , be top notch ."
819,"the charact be flesh out surprisingli well , particularli grime and blake , and all the actor deliv their sharpli script line with just the right amount of deadpan tongu in cheek to make the dialogu both hilari and realist ."
820,"angu scrimm also turn in a good perform in a somewhat brief but memor role a the gentli menac , violin-play anatomist doctor quinn ."
821,conclus - i love it .
822,it 's a long time sinc i be so entertain by a movi .
823,i struggl to find anyth bad to say about it .
824,"mark my word , thi be one of those cult film like evil dead 2 or phantasm that peopl will still be discov and fall in love with 20 , 30 , 40 year down the line ."
825,"it 's pretti surpris that thi wonder film be make in 1949 , a hollywood gener have it collect head in the sand concern black and white issu at that time ."
826,"the film deserv strong kudo for take thi stand , for have except act from it mostli lesser-known cast and for the super-intellig script that do n't insult the audienc or take the easi way out when it come to white racism ."
827,"plu , with the movi 's rather modest budget and fast run time , it do an amaz job !"
828,juano hernandez ( an except actor who play support role in mani film of the era ) be a proud black man who be accus of murder a white man in the south .
829,trumbul on i love luci ) .
830,see it with your kid if you have a chanc -- it will open up some amaz dialog about how far race relat have come in the last 50 year .
831,see both film if you can .
832,"it be that year , howev , that remind u that huston be still at the top of hi game a evinc by hi faith adapt of jame joyc 's acclaim novella `` the dead ."
833,"feel , thought ... gabriel 's discomfort dure the danc ... all these intang leap to life and come within the viewer 's grasp in huston 's portray ."
834,veri disappoint and wonder how it could be in the oscar shortlist .
835,it 's veri slow .
836,lot of hole in the plot : there 's noth about how he becom the emperor ; noth about where he spend 20 year between hi childhood and matur age .
837,) do n't wast your time .
838,end of day be one of the bad big-budget action movi i 've ever see .
839,he sure do n't know how to make a coher action movi from the screenwrit of air forc one who be onli oblig to write the script just for a big sum of money .
840,thi be one of the bad film i have ever see .
841,i 'm still tri to get over how bad it be .
842,thi movi be possibl one of the most creativ work of horror ever .
843,"it have everyth you could want ... suspens , drama , comedi , confus subplot , nativ american , brain eat ... if you 're look for the be-al , end-al of brainsuck movi , look no further ."
844,"with great sound effect , and impress special effect , i cant recommend thi movi enough ."
845,"call me a nut , but i think thi be one of the best movi ever ."
846,great charact actor telli savala and peter boyl .
847,"1 hour 54 minut of sheer tedium , melodrama and horribl act , a mess of a script , and a sink feel of good lord , what be they think ?"
848,lot of hole in the script .
849,it 's like a bad two hour tv movi .
850,now imagin that everi singl one of those decis be make wrong .
851,the dialogu be atroci .
852,the act be beyond abysm .
853,everyth stink .
854,"troubl be , the write and direct make it imposs to establish those thing that make a movi watchabl , like charact , stori , theme and so on ."
855,"bad , there 's an incred weak sub-plot thrown in that follow a littl band of latter-day mansonit a they go after a report who 's work on a stori on the anniversari of the kill ."
856,"it 's dumb and pointless , and a complet wast of time ."
857,"in short , do n't bother with thi movi ."
858,"i wo n't spoil it , but the end in pretti amaz ."
859,"the best scene in the movi be at the end , but i wo n't spoil it ."
860,"if there be ever an indic of a writer and a director 's abil to meld two highli volatil tempera into a seamless union of creativ , then thi be it !"
861,"the result be a powerhous achiev , make more time now perhap becaus of our cultur 's disturb fascin with celebr , and it 's distort interpret of fame ."
862,a film not easili forget .
863,"but , kevin spacey be an excel , verbal tsunami a buddi ackerman  and total believ becaus he be a great actor ."
864,the script of the subtl comedi be unmatch by ani movi in recent year .
865,"the charact be interest , even if a bit predict ."
866,"highli recommend for all age , although the young set will probabl not appreci some of the more subtl refer , they will certainli appreci one galley scene in particular !"
867,great movi !
868,also the stori and act be weak .
869,"at around 4 pm i buy it , at around 8pm i start to watch , at around 8.15pm i fast forward the remain film to see if there be anyth leav watchabl for a human be with a brain ... but there be n't ."
870,"either way , it suck ."
871,the script be horrend stupid .
872,the stori start too fast with absolut no suspens or build-up in the slightest .
873,everyth captain howdi say be either laughabl or just plain stupid .
874,what the hell kind of crap be that ? !
875,"then , there 's the plot hole ."
876,you could drive a semi truck into these hole !
877,linda cardellini be the onli thing good in thi film .
878,she 's pois and amaz .
879,dee snider just plain suck .
880,"he ca n't act ( one of the least scari villain i have ever see ) , he ca n't write ( do he write thi damn movi in hi sleep ?"
881,i be bore throughout the whole damn thing .
882,"the act suck , the music suck , the script suck , the pace suck , the special fx suck , the direct suck ... basic , thi movi suck ."
883,thi film tri to be a seriou and sophist thriller/horror flick and it fail miser .
884,thi be probabl one of the least effect and utterli unorigin film i have ever see in my entir life .
885,a piec of cinemat garbag captur on celluloid .
886,avoid at ani and all cost .
887,"at ani rate thi film stink , it not funni , and fulci should have stay with giallo and supernatur zombi movi ."
888,avoid thi film at all cost .
889,"i do n't know what happen in season five , what a mess ."
890,the onli consist thread hold the seri togeth be the amaz perform of leni parker and anita laselva a the two taelon in quiet idealog conflict .
891,now thi be a movi i realli dislik .
892,it 's one of the most bore horror movi from the 90 's mainli becaus it start slow and center in a bore atmospher .
893,"the puppet look realli cheesi , not in a good way like in the puppet master 80 's flick ."
894,"the stori be lame , not interest and never realli explain the sinist origin of the puppet ."
895,there be n't death scene like in previou movi and the f/x be terribl .
896,"i felt asleep the first time i watch it , so i can recommend it for insomniac ."
897,"the fact be , thi film be a wonder , heartwarm tale about two peopl chase their dream ."
898,the best part about `` nurs betti `` be it 's unpredict .
899,"director neil labut us brutal violenc to seper dream from realiti , and along with the touch drama , and hilari comedi , you can never tell what be go to happen next ."
900,"otherwis , do n't even wast your time on thi ."
901,thi one just fail to creat ani real suspens .
902,"a for the killer , do n't expect anyth origin or even remot frighten ."
903,"there be , howev , some pretti good act ( at least , for thi type of film ) ."
904,i 'm so sorri but i realli ca n't recommend it to anyon .
905,"one of the most bore , pointless movi i have ever see ."
906,the secondari plot line be incomprehens and it relat to the primari plot line be mystifi .
907,hat it .
908,thi be one of the bad sandra bullock movi sinc speed 2 but not quit that bad .
909,"i do n't understand how thi garbag get on the shelf of the movi store , it 's not even a real movi !"
910,i highli doubt that anyon could ever like thi trash .
911,thi be not movie-mak .
912,"the act be like watch wooden puppet move around and read from a book , that 's how bad it be ."
913,"so i be here to warn you -- do not rent thi movi , it be the dumb thing you have never see !"
914,i saw thi short film on hbo the other day and absolut love it .
915,i do n't realiz how wonder the short realli be until the last two scene .
916,excel short film .
917,"hope , the director jam cox can turn the short into a featur length film with the same cast , or win u over with a whole new film ."
918,"i agre with jessica , thi movi be pretti bad ."
919,"charact be one-dimension , even the good guy and especi the bad guy ."
920,the stori line be total predict .
921,"not much dialogu , not much music , the whole film be shoot a elabor and aesthet like a sculptur ."
922,i 've see soap opera more intellig than thi movi .
923,"bad charact , bad stori and bad act ."
924,realli aw .
925,not easi to watch .
926,"funni , clever , hip - just like pray 's previou film , hype !"
927,it be a long time that i do n't see a so charismat actor on screen .
928,paolo sorrentino have write a wonder stori about loneli and toni have build one of the most unforgett charact see in movi in recent year .
929,the movi be not complet perfect but 'titta di girolamo ' will stay with you for a long time after the vision of the movi .
930,i rate thi movi 9/10 .
931,"i do not know if thi be emilio estevez 's directori debut , but the pace , the interplay and develop of the charact as well a some clever camera work surround the charact estevez play all suggest a natur eye ."
932,the interplay between martin and emilio contain the same wonder chemistri we saw in wall street with martin and charli .
933,kathi bate be wonder in her charact subtl desper and escap ; a variat on her charact in `` at play in the field of the lord `` .
934,for reader who have alreadi see one of miyazaki 's film : he be still in top form and make anoth worthwhil experi .
935,"it never condescend , all the charact have good genuin heart and believ problem ."
936,the two main charact may be two of the most believ child i ever saw put on screen .
937,"they be so easi to love , but even more easi to identifi with ."
938,thi movi be great -- especi if you enjoy visual art .
939,the sceneri that the two daughter paint and photograph be beauti .
940,the stori be also both funni and poignant at time .
941,peopl who like european film and `` art movi `` will like thi movi .
942,thi be truli an art movi -- it actual have a lot of art in it .
943,go rent it .
944,"howev , after final watch thi film , i realiz that not onli have i have a close mind to the brillianc it depict , i also find myself watch it over and over again ."
945,"it 's the one movi that never ceas to interest me , simpli becaus it keep me alert , a i tri to attempt to deciph it 's mean ."
946,brillianc inde .
947,"but if you like movi like the matrix ( and good yet , their sequel ) i think you 'll appreci the thought provok , mindblow experi thi film will give you ."
948,think of the film be like a dream .
949,simpli beauti .
950,both rickman and stow play their role to the hilt in thi tale of a children ' book writer who -- mayb ? -- have write a subvers tract .
951,"it 's a glorious fun , fast pace and fairli accur portray of the night of a raver ."
952,it present a idyl yet seriou portray of the up and down of the charact life .
953,"just whatev you do , avoid `` groov `` a it the antithesi of all that be good about human traffic ."
954,"it 's too bad that everyon els involv do n't share crow 's level of dedic to qualiti , for if they do , we 'd have a far good film on our hand than thi sub-par mess ."
955,the movi seem a littl slow at first .
956,but it pick up speed and get right to the point .
957,it show exactli how the govern and the scientist argu for human and the reason of the `` gadget `` .
958,i enjoy it .
959,i have recommend it to friend .
960,i be particularli pleas with the act abil of dwight schultz .
961,"both actor truli understand and becom their particular charact , deliv a convinc , sincer perform ."
962,"their on-screen chemistri , critic to the entir film , be genuin ."
963,"the film 's dialogu be natur , real to life ."
964,"the writer , gorman bechard , undoubtedli do hi homework becaus all refer be industri and character-ag appropri ."
965,the incred soundtrack truli captur the essenc of the film .
966,"each track command sentiment , actual contribut to the scene and charact ."
967,definit worth see it 's the sort of thought provok film that forc you to question your own threshold of loneli .
968,"hayao miyazaki 's late and eighth film for studio ghibili , `` gake no ue no ponyo `` ( ponyo on the cliff by the sea ) be a wonder fun and imagin look at childhood ."
969,"at a time when it seem that film anim have be domin by disney/pixar 's cgi masterpiec , it be both refresh and comfort to know that miyazaki be still reli on tradit hand-drawn anim to tell hi charm and enchant stori ."
970,enough can not be say of the remark anim in thi film .
971,the art style have the appear of crayon/pencil draw and be wonder color and fanci .
972,"if you act in such a film , you should be glad that you 're gon na drift away from earth as far a possibl !"
973,"thi one want to surf on the small wave of space movi in 1998 ( deep impact and armageddon ) , and thi one fail everywher ."
974,if you have n't choke in your own vomit by the end ( by all the cheap drama and worthless dialogu ) you 've must have bore yourself to death with thi wast of time .
975,"still , it make up for all of thi with a super end that depict a great sea vessel be take out by the mighti frost ."
976,"just consid the excel stori , solid act and look of the film a ad bonu ."
977,"instead , we get a bore fest about a whini , spoil brat babysit ."
978,"then i watch it again two sunday ago ( march 20th , 2005 ) and i begin to realli enjoy it and thi time i tap the entir thing ."
979,it be a veri well act and do tv movi .
980,judith light be one of my favorit actress and i think she do a superb job in thi film !
981,i keep watch it over and over .
982,"it 's a sad movi , but veri good ."
983,"if you have not see thi movi , i definit recommend it !"
984,"she be as love a usual , thi cuti !"
985,still it 's quit interest and entertain to follow .
986,; ) recommend with confid !
987,thi movi be well-balanc with comedi and drama and i thoroughli enjoy myself .
988,it be a riot to see hugo weav play a sex-obsess gay real estat salesman who use hi client ' hous for hi tryst with the flame darren ( tom holland ) .
989,": ) anyway , the plot flow smoothli and the male-bond scene be a hoot ."
990,"the open sequenc of thi gem be a classic , and the cat n mous game that follow be a delight to watch ."
991,fan of the genr will be in heaven .
992,lang have becom a great actress .
993,it look like a wonder stori .
994,i never walk out of a movi faster .
995,i just get bore watch jessic lang take her cloth off !
996,"unfortun , ani virtu in thi film 's product work be lose on a regrett script ."
997,"in a word , it be embarrass ."
998,except bad !
999,all in all it an insult to one 's intellig and a huge wast of money .
1000,wow ... love thi place .
1001,crust be not good .
1002,not tasti and the textur be just nasti .
1003,stop by dure the late may bank holiday off rick steve recommend and love it .
1004,the select on the menu be great and so be the price .
1005,now i be get angri and i want my damn pho .
1006,honeslti it do n't tast that fresh . )
1007,the potato be like rubber and you could tell they have be make up ahead of time be keep under a warmer .
1008,the fri be great too .
1009,a great touch .
1010,servic be veri prompt .
1011,would not go back .
1012,the cashier have no care what so ever on what i have to say it still end up be wayyy overpric .
1013,"i tri the cape cod ravoli , chicken , with cranberri ... mmmm !"
1014,i be disgust becaus i be pretti sure that be human hair .
1015,i be shock becaus no sign indic cash onli .
1016,highli recommend .
1017,waitress be a littl slow in servic .
1018,"thi place be not worth your time , let alon vega ."
1019,do not like at all .
1020,the burritto blah !
1021,"the food , amaz ."
1022,servic be also cute .
1023,i could care less ... the interior be just beauti .
1024,so they perform .
1025,that 's right .... the red velvet cake ..... ohhh thi stuff be so good .
1026,- they never bring a salad we ask for .
1027,"thi hole in the wall have great mexican street taco , and friendli staff ."
1028,"take an hour to get our food onli 4 tabl in restaur my food be luke warm , our sever be run around like he be total overwhelm ."
1029,the bad be the salmon sashimi .
1030,"also there be combo like a burger , fri , and beer for 23 which be a decent deal ."
1031,thi be like the final blow !
1032,i find thi place by accid and i could not be happi .
1033,"seem like a good quick place to grab a bite of some familiar pub food , but do yourself a favor and look elsewher ."
1034,"overal , i like thi place a lot ."
1035,the onli redeem qualiti of the restaur be that it be veri inexpens .
1036,ampl portion and good price .
1037,"poor servic , the waiter make me feel like i be stupid everi time he come to the tabl ."
1038,my first visit to hiro be a delight !
1039,servic suck .
1040,the shrimp tender and moist .
1041,there be not a deal good enough that would drag me into that establish again .
1042,hard to judg whether these side be good becaus we be gross out by the melt styrofoam and do n't want to eat it for fear of get sick .
1043,"on a posit note , our server be veri attent and provid great servic ."
1044,"frozen puck of disgust , with some of the bad peopl behind the regist ."
1045,the onli thing i do like be the prime rib and dessert section .
1046,it 's too bad the food be so damn gener .
1047,"the burger be good beef , cook just right ."
1048,if you want a sandwich just go to ani firehous ! ! ! ! !
1049,"my side greek salad with the greek dress be so tasti , and the pita and hummu be veri refresh ."
1050,we order the duck rare and it be pink and tender on the insid with a nice char on the outsid .
1051,he come run after u when he realiz my husband have leav hi sunglass on the tabl .
1052,their chow mein be so good !
1053,"they have horribl attitud toward custom , and talk down to each one when custom do n't enjoy their food ."
1054,the portion be huge !
1055,"love it ... friendli server , great food , wonder and imagin menu ."
1056,the heart attack grill in downtown vega be an absolut flat-lin excus for a restaur .
1057,not much seafood and like 5 string of pasta at the bottom .
1058,"the salad have just the right amount of sauc to not over power the scallop , which be perfectli cook ."
1059,"the rip banana be not onli rip , but petrifi and tasteless ."
1060,at least think to refil my water befor i struggl to wave you over for 10 minut .
1061,thi place receiv star for their appet ! ! !
1062,the cocktail be all handmad and delici .
1063,we 'd definit go back here again .
1064,we be so glad we find thi place .
1065,"great food and servic , huge portion and they give a militari discount ."
1066,alway a great time at do gringo !
1067,updat ..... go back for a second time and it be still just a amaz
1068,we get the food and appar they have never hear of salt and the batter on the fish be chewi .
1069,a great way to finish a great .
1070,"the deal includ 5 tast and 2 drink , and jeff go abov and beyond what we expect ."
1071,"- realli , realli good rice , all the time ."
1072,the servic be meh .
1073,"it take over 30 min to get their milkshak , which be noth more than chocol milk ."
1074,"i guess i should have know that thi place would suck , becaus it be insid of the excalibur , but i do n't use my common sens ."
1075,the scallop dish be quit appal for valu as well .
1076,2 time - veri bad custom servic !
1077,the sweet potato fri be veri good and season well .
1078,today be the second time i 've be to their lunch buffet and it be pretti good .
1079,there be so much good food in vega that i feel cheat for wast an eat opportun by go to rice and compani .
1080,come here be like experi an underwhelm relationship where both parti ca n't wait for the other person to ask to break up .
1081,walk in and the place smell like an old greas trap and onli 2 other there eat .
1082,the turkey and roast beef be bland .
1083,thi place have it !
1084,the pan cake everyon be rave about tast like a sugari disast tailor to the palat of a six year old .
1085,i love the pho and the spring roll oh so yummi you have to tri .
1086,the poor batter to meat ratio make the chicken tender veri unsatisfi .
1087,all i have to say be the food be amaz ! ! !
1088,omelet be to die for !
1089,everyth be fresh and delici !
1090,"in summari , thi be a larg disappoint din experi ."
1091,"it 's like a realli sexi parti in your mouth , where you 're outrag flirt with the hot person at the parti ."
1092,"never be to hard rock casino befor , will never ever step forward in it again !"
1093,best breakfast buffet ! ! !
1094,say bye bye to your tip ladi !
1095,we 'll never go again .
1096,will be back again !
1097,food arriv quickli !
1098,it be not good .
1099,"on the up side , their cafe serf realli good food ."
1100,"our server be fantast and when he find out the wife love roast garlic and bone marrow , he add extra to our meal and anoth marrow to go !"
1101,"the onli good thing be our waiter , he be veri help and keep the bloddi mari 's come ."
1102,"best buffet in town , for the price you can not beat it ."
1103,"i love their mussel cook in thi wine reduct , the duck be tender , and their potato dish be delici ."
1104,thi be one of the good buffet that i have be to .
1105,so we go to tigerlilli and have a fantast afternoon !
1106,"the food be delici , our bartend be attent and person and we get a great deal !"
1107,the ambienc be wonder and there be music play .
1108,will go back next trip out .
1109,sooooo good ! !
1110,"real sushi lover , let 's be honest - yama be not that good ."
1111,"at least 40min pass in between u order and the food arriv , and it be n't that busi ."
1112,thi be a realli fantast thai restaur which be definit worth a visit .
1113,"nice , spici and tender ."
1114,good price .
1115,check it out .
1116,it be pretti gross !
1117,i 've have well atmospher .
1118,kind of hard to mess up a steak but they do .
1119,"although i veri much like the look and sound of thi place , the actual experi be a bit disappoint ."
1120,i just do n't know how thi place manag to serv the bland food i have ever eat when they be prepar indian cuisin .
1121,"worst servic to boot , but that be the least of their worri ."
1122,servic be fine and the waitress be friendli .
1123,"the guy all have steak , and our steak love son who have have steak at the best and bad place say it be the best steak he 's ever eat ."
1124,"we think you 'd have to ventur far away to get good sushi , but thi place realli hit the spot that night ."
1125,"host staff be , for lack of a good word , bitch !"
1126,bland ... not a like thi place for a number of reason and i do n't want to wast time on bad review .. i 'll leav it at that ...
1127,"phenomen food , servic and ambianc ."
1128,i would n't return .
1129,"definit worth ventur off the strip for the pork belli , will return next time i 'm in vega ."
1130,thi place be way too overpric for mediocr food .
1131,penn vodka excel !
1132,"they have a good select of food includ a massiv meatloaf sandwich , a crispi chicken wrap , a delish tuna melt and some tasti burger ."
1133,the manag be rude .
